	0	1
15	1100	0.0151386702192
16	600	0.0393605425699
17	1700	0.0635824149207
18	4500	0.0666101489645
19	9200	0.130192563885
20	16500	0.124137095798
21	24000	0.193774978806
22	29300	0.233135521376
23	38600	0.360300351217
24	41200	0.399660893787
25	47700	0.563158532155
26	51500	0.687295627952
27	50000	0.762988979048
28	50500	1.06879011748
29	42500	1.09301198983
30	49600	1.19595494732
31	48400	1.29284243672
32	47200	1.4987283517
33	47000	1.68644786242
34	45600	1.64405958581
35	48000	1.7470025433
36	45500	1.65011505389
37	38800	1.76214121352
38	39500	1.94380525615
39	35100	1.78333535182
40	39100	1.99527673489
41	36900	2.01949860724
42	33600	2.17694077752
43	35300	2.29502240523
44	31200	2.37979895846
45	32200	2.22841225627
46	30600	2.30713334141
47	28300	2.17088530943
48	27500	2.34043841589
49	26600	2.33741068185
50	28500	2.47063097977
51	26800	2.21327358605
52	26700	2.44943684147
53	25200	2.27685600097
54	23400	2.44035363934
55	26500	2.06794235194
56	22700	2.25868959671
57	22600	2.29199467119
58	20900	2.14666343708
59	20000	2.07097008599
60	18800	2.10730289451
61	14600	1.91050018166
62	19100	1.8923337774
63	16600	1.91655564975
64	18300	1.70461426668
65	14400	1.71369746881
66	13900	1.67433692624
67	15700	1.75911347947
68	11800	1.3049533729
69	10700	1.2777037665
70	11700	1.25953736224
71	9400	1.14751120262
72	9800	1.1535666707
73	7200	1.02337410682
74	7600	0.99309676638
75	8100	0.929514351459
76	7400	0.841710064188
77	5800	0.878042872714
78	6800	0.8356545961
79	7000	0.775099915223
80	27900	3.13976020346
85	33200	2.81882039482
